Nome do Candidato,Partido,Municipio,Situacao,Moeda Social,Palavras chaves Amplas
RAFAEL AGUIAR PEREIRA DE SOUZA,Partido Liberal - PL,Prefeito - Armacao Dos Buzios/ RJ,Nao eleito,moeda social,
PETTERSON MAGNO DA SILVA SANTOS,Partido Socialismo E Liberdade - PSOL,Prefeito - Barra Mansa/ RJ,Nao eleito,moedas sociais,
MATHEUS CARNEIRO BARROS,Republicanos - REPUBLICANOS,Prefeito - Belford Roxo/ RJ,Nao eleito,moeda social,
RAFAEL PECANHA DE MOURA,Rede Sustentabilidade - REDE,Prefeito - Cabo Frio/ RJ,Nao eleito,"moedas sociais, moeda local",
RAFAEL PECANHA DE MOURA,Rede Sustentabilidade - REDE,Prefeito - Cabo Frio/ RJ,Inapto,"moedas sociais, moeda local",
MARCOS ANTONIO DOS SANTOS SOUZA,Solidariedade - SOLIDARIEDADE,Prefeito - Cachoeiras De Macacu/ RJ,Nao eleito,moeda social,
JOAO CELSO CUNHA DOS SANTOS,Solidariedade - SOLIDARIEDADE,Prefeito - Cambuci/ RJ,Nao eleito,moeda social,
VALMIR TAVARES LESSA,Cidadania - CIDADANIA,Prefeito - Conceicao De Macabu/ RJ,ELEITO,moeda local,
OCTAVIO BOTELHO LUTTERBACH,Partido Liberal - PL,Prefeito - Duas Barras/ RJ,Nao eleito,,distribuir renda
MARLON VIVAS CABRAL,Partido Democratico Trabalhista - PDT,Prefeito - Guapimirim/ RJ,Nao eleito,moeda social,
JAIR JOSE DIAS,Partido Dos Trabalhadores - PT,Prefeito - Itaborai/ RJ,Nao eleito,moeda social,
ANTONIO DONIZETE GASPARINO DE JESUS,Uniao Brasil - UNIAO,Prefeito - Itaguai/ RJ,Nao eleito,moeda social,
ALEXANDRE VALLE CARDOSO,Partido Liberal - PL,Prefeito - Itaguai/ RJ,Nao eleito,,renda complementar
EDUARDO GUEDES DA SILVA,Solidariedade - SOLIDARIEDADE,Prefeito - Itatiaia/ RJ,Nao eleito,moeda local,
JOSE ELIEZER TOSTES PINTO,Movimento Democratico Brasileiro - MDB,Prefeito - Laje Do Muriae/ RJ,Nao eleito,moeda social,
EMMANUEL PEREIRA PONTES,Republicanos - REPUBLICANOS,Prefeito - Laje Do Muriae/ RJ,Nao eleito,moeda local,
ROBERTO DA SILVA LANES FILHO,Partido Socialismo E Liberdade - PSOL,Prefeito - Natividade/ RJ,Nao eleito,moeda social,
JOAO ALBERTO PEREIRA GOMES,Partido Novo - NOVO,Prefeito - Niteroi/ RJ,Inapto,moeda social,
TALIRIA PETRONE SOARES,Partido Socialismo E Liberdade - PSOL,Prefeito - Niteroi/ RJ,Nao eleito,moeda social,
WANDERSON LUIZ CUNHA NOGUEIRA,Partido Democratico Trabalhista - PDT,Prefeito - Nova Friburgo/ RJ,Nao eleito,moeda social,
ANTONIO ARAUJO FERREIRA,Partido Dos Trabalhadores - PT,Prefeito - Nova Iguacu/ RJ,Nao eleito,moeda social,
CESAR AUGUSTO GUTO NADER,Movimento Democratico Brasileiro - MDB,Prefeito - Pinheiral/ RJ,Nao eleito,moeda local,
RIVALNEY DESSERBELLES PEDROSA,Partido Dos Trabalhadores - PT,Prefeito - Pinheiral/ RJ,Nao eleito,moeda social,
CASSIO REZENDE MONTEIRO,Solidariedade - SOLIDARIEDADE,Prefeito - Porciuncula/ RJ,Nao eleito,moeda social,
RENAN MARASSI MAGALHAES,Republicanos - REPUBLICANOS,Prefeito - Resende/ RJ,Nao eleito,moeda social,
LEANDRO PEREIRA NETTO,Solidariedade - SOLIDARIEDADE,Prefeito - Rio Bonito/ RJ,Nao eleito,moeda social,
UILTON AFONSO VIANA FILHO,Partido Liberal - PL,Prefeito - Rio Bonito/ RJ,Nao eleito,moeda social,
KATIA MARIA DINIZ MACILLO,Partido Dos Trabalhadores - PT,Prefeito - Rio Das Ostras/ RJ,Nao eleito,moeda social,
TARCISIO MOTTA DE CARVALHO,Partido Socialismo E Liberdade - PSOL,Prefeito - Rio De Janeiro/ RJ,Nao eleito,moedas sociais,renda complementar
JAIRO OLIVEIRA AQUINO,Solidariedade - SOLIDARIEDADE,Prefeito - Sao Fidelis/ RJ,Nao eleito,moeda social,
JOSEMAR PINHEIRO DE CARVALHO,Partido Socialismo E Liberdade - PSOL,Prefeito - Sao Goncalo/ RJ,Nao eleito,moedas sociais,
JULIANA DA SILVA DRUMOND,Partido Socialismo E Liberdade - PSOL,Prefeito - Sao Joao De Meriti/ RJ,Nao eleito,moedas sociais,
ROMULO CARVALHO DE ALMEIDA,Partido Novo - NOVO,Prefeito - Saquarema/ RJ,Nao eleito,moedas sociais,
LUIZ EVANDRO MACEDO DE BARROS JUNIOR,Solidariedade - SOLIDARIEDADE,Prefeito - Silva Jardim/ RJ,Nao eleito,moeda social,
MAIRA BRANCO MONTEIRO,Movimento Democratico Brasileiro - MDB,Prefeito - Silva Jardim/ RJ,Nao eleito,moeda social,
RILDO GONCALVES NEVES,Partido Liberal - PL,Prefeito - Trajano De Moraes/ RJ,ELEITO,,distribuir renda
FRANCISCO DE PAULA DOS REIS LIMA,Partido Socialismo E Liberdade - PSOL,Prefeito - Valenca/ RJ,Nao eleito,moedas sociais,
FRANCISCO CARLOS TEIXEIRA BRANDO,Solidariedade - SOLIDARIEDADE,Prefeito - Vassouras/ RJ,Nao eleito,moeda local,
